group,ID,S1q1,Solution: even: 62 (“>”) – 100 (“d”) and odd 80 (“P”) – 122 (“z”),S1q2,"Solution: out[n] depends on input[(len/2 + n) % len] and depending on the value of input[(len/2 + n) % len] also on input[n], input[(n+1) % input_len], and input[(n+2) % input_len]",S1q3,Solution: 3*input_len and var_5 is between 60 and 150,S1q4,"Solution: Yes: while-loop: if executed at most 2 times in a row, var_4 increased at most 3 times → <=12 iterations of the while-loop",S2q1,Solution: 35 = “#” or between 48 = “0” and 121 = “y”,S2q2,Solution: 8 characters,S2q3,"Solution: out[0] depends on input[k*8] with 0<=k<length/8 if 0 < length

In general: out[n] depends on input[n+8k] with 0<=k<(length-n)/8 if n < length
Otherwise: out[n] depends on input[x + 8k] with x=n % (2*length) or x = n % (2*length) – length",S2q4,Solution: only if input_len < 8; thus at most 7 times if input_len = 1.
A,1,"By looking at the last few lines one can see the possible ranges:
- From 80 (inclusive) to 123 (exclusive)
- From 62 (inclusive) to 101 (exclusive)

",1,"output[0] is potentially influenced by input[(0 + input_len / 2) % input_len] , input[(0 + 0)  % input_len], input[(0 + 1)  % input_len] and input[(0 + 2)  % input_len].

output[n] is potentially influenced by input[(n + input_len / 2) % input_len] , input[(n + 0)  % input_len], input[(n + 1)  % input_len] and input[(n + 2)  % input_len].",1,"The maximum number of times the funtion foo is invoked is input_len * 3. For each for iteration possible 3 times in the while.

The values passed to foo need <= 150 because of the while condition.",0.75,"The function would always terminate. The only loop which could potentially loop forever is the while when always going to the continue statement. However the condition var_5 < 60 will eventuelly reach false, as var_5 is increasing with each iteration.",1,"Possible ranges include:
- From 48 (inclusive) to (74 + 48) (exclusive)
- Exactly 35",1,"9 characters. The while loop is only exited when reaching the single break statement, which is guarded by var_1 >= 8",1,"output[0] is potentially affected by all input[i * output_len] where i * output_len <= input_len
output[n] is potentially affected by all input[n + i * output_len] where n + i * output_len < input_len",0.9,"X is printed when input_len < 7
The maximum amount of times X can be printed is 8 - 1 = 7 because input_len needs to be atleast 1 and x is only printed when var_1 >= input_length.",1
A,2,"Assumption: it is possible that I can construct arbitrary input such that the large while loop just ""scrambles"" the output, but doesn't limit the value range.  The important part is in lines 25-30: cval is first limited to 80 + cval % 43 => range [80, 122]. When i is even, we decrease the lower bound -> cval % 39 + 62.

The answer should be [62, 122]",1,time exceeded,None,time exceeded,None,time exceeded,None,"[30, 122]. LABEL_3 limits range to [48, 122], smallest case for else branche in 31 is 101 -> 101 /2 - 15 - 5 = 30 = lower bound  ",0.25,time exceeded,None,time exceeded,None,time exceeded,None
A,3,I don't know,0,"output[n] is affected by var_3 which may be affected by input[var1] (line 20) if var_5 is < 60.  This is the case if var_3 / 3 = input[(input_len+var_1)/2]  / 3 < 60 for var_1 < input_len. 
Since no time is left i would say, that output may be affected by input[0] to input[input_len/2-1]",0.125,if var_5 is always larger 60 foo is invoked  2 times for each for loop iteration because of the break if var_4 > 2 and var_4 increasing each while loop iteration. range from 50/3 to 85,0.75,no time left,None,96-250,0,I don't know,0, output[n] may be affected by input[var_1]=input[*] and var_5=input[var_6]=input[*],0,maximum of 8 (var_1 < 8) ,0.5
A,4,output can contain 62 - 122,1,I don't know,0,"It can be invoked up to (max(input_len) - 1)) * 3 times, after every call of foo, var_4 is incremented by one (@19). If it reaches 3, the while loop (@7) breaks (@15f). var_4 is initialized with 0 (@5) on each iteration of the for loop (@3). The for-loop terminates once i >= input_len. 
var_5 (the argument of function call foo) is >= 60 (because smaller values lead to continue, which checks the value of var_5 again) and <= 150 (if it is larger than 150, the while loop ends)",1,"Since input_len is a signed integer, just as the counter i (@3), it will terminate latest once i reaches signed_int_max (assuming input_len was set to signed_int_max, too)",0.3,"35, 48 - 122",1,"As far as I understood the question, it is not about, how many times values of output[i] are changed, but what is the final ""string length"" of output? Then my answer is 8 at most, 1 at least",0.5,"odd ascii values are changed to the next even value. Even ascii values are ""halfed"" (divided by 2)
Ok, I still don't understand this. Sorry",0,"req input_len >= 1
req output_len > 0

7 times if input_len == 1
but... ok I am def missing something",0.5
A,5,"var3 = input[...]
var3 = var3 + input[...]
var3 = var3 - input[var1]
var3 = var3 % 43 + 80
""var3"" to ""var3 % 39 + 62""

answer: 1-122 (42+80)",0.9,"output[0]: affecting input characters: 0 (line 20), 1, 2 (from loop line 10), middle character (input_len/2, line 2+4)

output[n]: input[n], input[n+1], input[n+2], input[input_len/2+n]",1,"maximum number of times: input_len * 3

values of foo argument: 0 - 150",0.75,"No, because if the input is only ascii 33, var_5 should always be 11 (var_3 / 3 and var_3 is always the value of a character in input) and thus the while loop is never quit. Also, if I understood it correctly now, the answer to the last questions should be ""infinitely"" I guess.",0.3,-5 to 121 (73+48),0.25,"we break the while loop if  var_1 is >= 8, thus it should always be 9?",1,"output[0] is affected by input[0]

generally, output[n] is affected by input[var_6], while var_6 is either n or the character in the middle of the input (?)",0.2,I do not know.,0
A,6,"Assuming the input len>0, the valid values are in the interval [62, 122]",1,"The value of output[n] depends on n, n+1, n+2 and input_len/2+n. Each value modulo input_len",1,"Maximum number is 2 because of the if statement in line 15.
Input values are within [60,150]. Values smaller 60 will be prevented by the continue statement in the if statement in line 8 and values larger 150 are prevented by the while loop
",0.75,Continue with next sample due to time,None,"The value range is [48,121] and 35.",1,"If L<1 -> 0
If L>1 -> 8",1,I guess for output[n] only input[n] is relevant,0.2,"Input_len has to be lager than 1.
It is printed 8-Input_len+1 times.
It can not be printed more than 8 times.
Time is up",0.5
A,7,"Because of line 23, the output char can be at most 42+80 = 122, i.e. ‘z’. If input is completely 0, current_char remains 0 until line 23. 0 % 43 + 80 = 80. When we then reach line 25, 80 % 39 + 62 = 64. So the interval is [64:122].",1,"output[n] depends on:
input[n], input[n+1%len(input)], input[n+2%len(input)] because of line 10 (and input[n] again in line 20)
input[len(input)/2+n % len(input)] , because this char is used for initialization in line 4",1,"Twice per character in input, since the inner loop is terminated when the index is > 2 (lines 15-17), i.e. len(input) * 2
The foo call can only be reached if var_5 <60, because otherwise the loop is restarted by the continue or terminated by the condition of the while loop. So foo can receive values between 0 and 59.",1,"Regarding the previous question: Foo can only be reached if the input variable is between 60 and 150 – I read the inequality in the if statement the wrong way round.

Yes, the function terminates: if var_5 is too small in the innermost loop, it grows continuously, even if input is filled with the smallest possible values. The loop above terminates after at least two passes because of the check afterwards. This means that the function runs to the end.",1,"Line 32 sets the char to output[var_1] + current_char % 74 + 48, which is theoretically a minimum of 48.
If the char is >= 100, let's say 256 as the maximum, it is halved (128), then 15 is subtracted (113), then another 5 is subtracted (108). So [48:108]",0.25,"I think 8 at most? Because output is only written in the if block in the loop, and as soon as var_1 becomes 8 or greater, it breaks, and otherwise jumps back. var_1 is also only set to 0 and incremented, so I think it's always 8? But I'm not sure.",1,"The first 8. As described in the last question, I believe that var_1 can only take values from 0-7, since it is only incremented and when it reaches 8, the function is done. I think the strange if block in 12-20 only does the wrap-around when the index > input_len.",0,"X is printed when the current index passing through the input/output buffer is >= input_len. Assuming that the input buffer has at least one entry (if it were 0, there would be a segfault) and input_len is actually the length of input, I think there would be 6 Xs for a length of 1. The first two passes go normally, then the index is greater than input_len, and an x is output in each new round. Since I think there are always exactly 8 rounds in total, there should be 6 Xs. ",0.75
A,8,The valid ASCII range is between 80  and 122 ,0.5,"The output[0] depends on the character that is in the middle of the string. Hence the input_len/2
There are two indices going over the input string. The first is going from the first character to the last, which decides which character is modified. 
The other index starts in the middle of the string and loops around once and this input character influences the output.",0.125,"The function foo() is called a maximum of 3 times. Because var_4 decides when we break out of the loop.
The argument of function foo() needs to be smaller than 150 and bigger than 60",0.75,"At some point the var_3 will always become big enough to be higher than 60 so there cannot be an endless loop.
",1,The range is 48 - 122,0.5,The answer should be 8 because the only way we can exit the while(true) loop is by reaching the break. The break can only be reached if we have a number greater equal 8 for var_1 the index of the output. ,1,"output[0] the index is coming from var_1 which is incremented in the loop and is not modified in any other way. 
Therefore, I would argue that only input[0] influences output[0]. So there is a n to n relationship. If the input length is smaller than 8 then the index for the input list is looped.",0.2,"X is printed whenever the input_len variable is smaller than 8 because then the index from the output is generated needs to loop.
So the X is printed abs(8 - input_len) times. This means for an input_len of 0 the maximum number is 8.
However, in a real-world scenario an input_len of 0 does not make a lot of sense because then there would be no defined input.
Therefore, the number should be above 0, which would mean that the maximum number of times is 7.",1
A,9,0-100,0.5,"Correction of the previous Question: the value range is 0 - 122. I forgot the else case. 

Answer for this question: I am not sure. var_3 is set to ""var_3 % 43 + 80"". Thus, each position of the output is set either to 0-122 or 0-100 (if it is an number which can be divided by 2). Which value var_3 has, depends on the first half of the input i guess, because it is always set to input[var_2 % input_len], which is maximum the half of the input_len. 

",0,There is no time left,None,"there is not time left, sorry!",None,Output can contain characters in the value range 48-121 or the value 35 (#).,1,"There is no time left, sorry!",None,"There is no time left, sorry!",None,"There is no time left, sorry!",None
A,10,"It can contain values between 62 and 122. 
Every second entry starting at index 0 (2,4,6,...) can only cotanin values between 62 and 100 and all entries for odd indices can contain values between 80 and 122.",1,"The output[0] is dependent on the variable var_3, which is directly influenced by change of input[0]. Additionally it is influenced by the next three entries of the input (see line 10) so input[1], input[2], and input[3] in case our input in > 4. 
Otherwise we use modulo and access the first elements again.",0.375,"It can get executed a maximum of input_len*55 times. var_5 so the input of foo can take any value which is a multiple of 3 as well as 2 due to line 12 until var_5 is less than 60 (0,6,12,18,...).
Between 60 and 149 it needs to be an multiple of 2 only to line 21 (60,62,64,...).
",0.5,"No, since var_5 could stay dependent on the input always between 60 and 149 triggering an endless loop. Since if all entrioes are 126; var_5 would be larger than 60. ",0.3,The range is 0-122. ,0.25,Output length is must be equal to the input len L,0,"output[0] can be affected by input[var_6] for. Since in the first iteration var_6 = var_1 = 0 it is smaller thzan the input_len skipping the if in line 12. 
Therefore var_6 is 0 and therefore output[0] is only affected by input[0]. (since we also only increase var_1 so the indice used for the output we never get to write output[0] again.",0.1,"8 times since, var_1 gets increased for each input and can therefore jump to LABEL_1. 
In the first entrance in the function the if condition in line 12 is not met. So only maximum of 8 times.",0.75
